comparison,component,loading_cosine_similarity,absolute_cosine_similarity,shared_top_loading_count,shared_feature_examples
Full dataset vs First 500 rows,PC1,0.9922507747443102,0.9922507747443102,10,"fBodyAcc-sma(), fBodyAccJerk-sma(), fBodyAccMag-mean(), fBodyAccMag-sma(), fBodyBodyAccJerkMag-mean(), fBodyBodyAccJerkMag-sma(), fBodyGyro-sma(), tBodyAccJerk-sma()"
Full dataset vs First 500 rows,PC2,0.9467376513633545,0.9467376513633545,12,"fBodyAcc-meanFreq()-Z, fBodyAccMag-meanFreq(), tBodyAccMag-arCoeff()1, tBodyAccMag-arCoeff()2, tBodyGyroMag-arCoeff()1, tBodyGyroMag-arCoeff()2, tGravityAcc-arCoeff()-Z,1, tGravityAcc-arCoeff()-Z,2"
Full dataset vs Random 500 rows,PC1,0.9990114850756366,0.9990114850756366,12,"fBodyAcc-sma(), fBodyAccJerk-sma(), fBodyBodyAccJerkMag-mean(), fBodyBodyAccJerkMag-sma(), fBodyGyro-sma(), tBodyAccJerk-sma(), tBodyAccJerkMag-mad(), tBodyAccJerkMag-mean()"
Full dataset vs Random 500 rows,PC2,0.9853438789051595,0.9853438789051595,13,"fBodyAcc-meanFreq()-Y, fBodyAcc-meanFreq()-Z, fBodyAccMag-meanFreq(), tBodyAccMag-arCoeff()1, tBodyAccMag-arCoeff()2, tBodyGyroMag-arCoeff()1, tBodyGyroMag-arCoeff()2, tGravityAcc-arCoeff()-Z,1"
First 500 rows vs Random 500 rows,PC1,0.9921499716121178,0.9921499716121178,8,"fBodyAcc-sma(), fBodyAccJerk-sma(), fBodyBodyAccJerkMag-mean(), fBodyBodyAccJerkMag-sma(), fBodyGyro-sma(), tBodyAccJerk-sma(), tBodyAccJerkMag-mean(), tBodyAccJerkMag-sma()"
First 500 rows vs Random 500 rows,PC2,0.9580011444811358,0.9580011444811358,13,"fBodyAcc-meanFreq()-Z, fBodyAccJerk-meanFreq()-Z, fBodyAccMag-meanFreq(), tBodyAccMag-arCoeff()1, tBodyAccMag-arCoeff()2, tBodyGyroMag-arCoeff()1, tBodyGyroMag-arCoeff()2, tGravityAcc-arCoeff()-Z,1"
