component,feature_name,loading,absolute_loading
PC1,fBodyAcc-sma(),0.05861593822699859,0.05861593822699859
PC1,fBodyAccJerk-sma(),0.05857782193675417,0.05857782193675417
PC1,fBodyGyro-sma(),0.05855303362091429,0.05855303362091429
PC1,tBodyAccJerk-sma(),0.058548875240529,0.058548875240529
PC1,tBodyAccJerkMag-mean(),0.05849514103409505,0.05849514103409505
PC1,tBodyAccJerkMag-sma(),0.05849514103409505,0.05849514103409505
PC1,fBodyBodyAccJerkMag-mean(),0.058107848001982404,0.058107848001982404
PC1,fBodyBodyAccJerkMag-sma(),0.058107848001982404,0.058107848001982404
PC1,tBodyAccJerkMag-mad(),0.0580026222700786,0.0580026222700786
PC1,tBodyAccJerkMag-std(),0.057972951945941126,0.057972951945941126
PC2,fBodyAcc-meanFreq()-Z,0.12439347707095715,0.12439347707095715
PC2,tBodyGyroMag-arCoeff()1,0.12058307145721174,0.12058307145721174
PC2,fBodyAccMag-meanFreq(),0.11968713588392256,0.11968713588392256
PC2,"tGravityAcc-arCoeff()-Z,1",0.11959580124355706,0.11959580124355706
PC2,tBodyAccMag-arCoeff()1,0.11947325405690237,0.11947325405690237
PC2,tGravityAccMag-arCoeff()1,0.11947325405690237,0.11947325405690237
PC2,"tGravityAcc-arCoeff()-Z,2",-0.11927624375971824,0.11927624375971824
PC2,"tGravityAcc-arCoeff()-Z,3",0.11760022482936111,0.11760022482936111
PC2,"tGravityAcc-arCoeff()-Z,4",-0.1144489863171895,0.1144489863171895
PC2,tBodyGyroMag-arCoeff()2,-0.1128178733470519,0.1128178733470519
