component,feature_name,loading,absolute_loading
PC1,fBodyAcc-sma(),0.057357257866341306,0.057357257866341306
PC1,fBodyAccJerk-sma(),0.05706588943023096,0.05706588943023096
PC1,fBodyGyro-sma(),0.057027899308812094,0.057027899308812094
PC1,tBodyAccJerkMag-sma(),0.05700749821153231,0.05700749821153231
PC1,tBodyAccJerkMag-mean(),0.05700749821153231,0.05700749821153231
PC1,tBodyAccJerk-sma(),0.0569982618508157,0.0569982618508157
PC1,fBodyBodyAccJerkMag-mean(),0.056741670856197676,0.056741670856197676
PC1,fBodyBodyAccJerkMag-sma(),0.056741670856197676,0.056741670856197676
PC1,fBodyAccMag-sma(),0.05674057618840646,0.05674057618840646
PC1,fBodyAccMag-mean(),0.05674057618840646,0.05674057618840646
PC2,fBodyAcc-meanFreq()-Z,0.12495676252336248,0.12495676252336248
PC2,tBodyGyroMag-arCoeff()1,0.1237596120921152,0.1237596120921152
PC2,tGravityAccMag-arCoeff()1,0.12220672095373433,0.12220672095373433
PC2,tBodyAccMag-arCoeff()1,0.12220672095373433,0.12220672095373433
PC2,tBodyGyroMag-arCoeff()2,-0.12171276360758651,0.12171276360758651
PC2,tGravityAccMag-arCoeff()2,-0.11918021393725446,0.11918021393725446
PC2,tBodyAccMag-arCoeff()2,-0.11918021393725446,0.11918021393725446
PC2,fBodyAccMag-meanFreq(),0.11850716504420275,0.11850716504420275
PC2,"tGravityAcc-arCoeff()-Z,1",0.11636621142289354,0.11636621142289354
PC2,"tGravityAcc-arCoeff()-Z,2",-0.11628393850634482,0.11628393850634482
