component_number,component,explained_variance_ratio,cumulative_explained_variance
85,PC85,0.0012741149918069376,0.9301069450159021
86,PC86,0.0012442395012131487,0.9313511845171152
87,PC87,0.0012141107551859305,0.9325652952723011
88,PC88,0.0012000163164387306,0.9337653115887399
89,PC89,0.0011902184054414994,0.9349555299941814
90,PC90,0.0011598872574694534,0.9361154172516508
91,PC91,0.0011347077805106173,0.9372501250321614
92,PC92,0.001115361030396387,0.9383654860625578
93,PC93,0.0011013877031521653,0.9394668737657099
94,PC94,0.0010895339076957141,0.9405564076734056
95,PC95,0.0010776358774642744,0.9416340435508699
96,PC96,0.0010551347661565283,0.9426891783170264
97,PC97,0.001021429238318651,0.943710607555345
98,PC98,0.001018703207134388,0.9447293107624793
99,PC99,0.0009971300534607796,0.9457264408159402
100,PC100,0.0009850140912254608,0.9467114549071656
101,PC101,0.0009613804504604864,0.947672835357626
102,PC102,0.000939956095468497,0.9486127914530945
103,PC103,0.0009380468160617156,0.9495508382691562
104,PC104,0.0009194838412111284,0.9504703221103673
105,PC105,0.0009067843984650537,0.9513771065088323
106,PC106,0.0008908436717044155,0.9522679501805368
107,PC107,0.00088471029531433,0.9531526604758511
108,PC108,0.0008689054459605621,0.9540215659218116
109,PC109,0.0008645227650945161,0.9548860886869062
110,PC110,0.0008483440404914132,0.9557344327273976
111,PC111,0.0008346793629022772,0.9565691120902998
112,PC112,0.0008212781749755683,0.9573903902652754
113,PC113,0.0007965583087461709,0.9581869485740215
114,PC114,0.0007799104356466132,0.9589668590096682
115,PC115,0.0007747230299965127,0.9597415820396646
116,PC116,0.000756173051366339,0.960497755091031
117,PC117,0.0007395448590437113,0.9612372999500747
118,PC118,0.0007356293517022656,0.9619729293017769
119,PC119,0.0007248962116671171,0.9626978255134441
120,PC120,0.0006950764319748863,0.9633929019454189
121,PC121,0.0006843469452313867,0.9640772488906503
122,PC122,0.0006775431541646527,0.964754792044815
123,PC123,0.0006645826562910366,0.965419374701106
124,PC124,0.0006515090210315721,0.9660708837221376
125,PC125,0.0006488596918200416,0.9667197434139576
126,PC126,0.0006367432814509495,0.9673564866954085
127,PC127,0.000626821564550353,0.9679833082599589
128,PC128,0.0006091535108917716,0.9685924617708507
129,PC129,0.0006002377328123314,0.969192699503663
130,PC130,0.0005938051102432665,0.9697865046139064
131,PC131,0.0005840713006352393,0.9703705759145416
132,PC132,0.0005753686828102989,0.9709459445973518
133,PC133,0.0005611755105559728,0.9715071201079079
134,PC134,0.0005514435293648107,0.9720585636372726
135,PC135,0.0005461570221743729,0.972604720659447
136,PC136,0.0005378095364941935,0.9731425301959412
137,PC137,0.0005296195729792403,0.9736721497689205
138,PC138,0.0005252924108864519,0.974197442179807
139,PC139,0.0005185165934441411,0.9747159587732511
140,PC140,0.0005096475430300799,0.9752256063162812
141,PC141,0.0004919464422448536,0.975717552758526
142,PC142,0.0004861903213297857,0.9762037430798558
143,PC143,0.0004829482706233693,0.9766866913504791
144,PC144,0.0004788186415901826,0.9771655099920693
145,PC145,0.0004688789641152863,0.9776343889561846
146,PC146,0.00046433624522575505,0.9780987252014104
147,PC147,0.00045104721057085247,0.9785497724119813
148,PC148,0.00044653193562547446,0.9789963043476068
149,PC149,0.00043935625887189903,0.9794356606064787
150,PC150,0.00043695736083885123,0.9798726179673175
151,PC151,0.00042867971492878995,0.9803012976822463
152,PC152,0.00041702077008723583,0.9807183184523335
153,PC153,0.00041116683414507606,0.9811294852864786
154,PC154,0.0004103009091554931,0.9815397861956341
155,PC155,0.000404960712391082,0.9819447469080251
156,PC156,0.000399931893157183,0.9823446788011824
157,PC157,0.0003955366287835745,0.9827402154299659
158,PC158,0.00039119211668907236,0.983131407546655
159,PC159,0.0003829444357623421,0.9835143519824173
160,PC160,0.00038045266248242524,0.9838948046448998
161,PC161,0.00037085603222510147,0.9842656606771248
162,PC162,0.0003615116890444996,0.9846271723661694
163,PC163,0.00035790577213975,0.9849850781383092
164,PC164,0.00035562794462732185,0.9853407060829364
