component_number,component,explained_variance_ratio,cumulative_explained_variance
540,PC540,5.955623205744589e-20,0.9999999999999997
541,PC541,2.859219336979315e-33,0.9999999999999997
542,PC542,2.859219336979315e-33,0.9999999999999997
543,PC543,2.859219336979315e-33,0.9999999999999997
544,PC544,2.859219336979315e-33,0.9999999999999997
545,PC545,2.859219336979315e-33,0.9999999999999997
546,PC546,2.859219336979315e-33,0.9999999999999997
547,PC547,2.859219336979315e-33,0.9999999999999997
548,PC548,2.859219336979315e-33,0.9999999999999997
549,PC549,2.859219336979315e-33,0.9999999999999997
550,PC550,2.859219336979315e-33,0.9999999999999997
551,PC551,2.859219336979315e-33,0.9999999999999997
552,PC552,2.859219336979315e-33,0.9999999999999997
553,PC553,2.859219336979315e-33,0.9999999999999997
554,PC554,2.859219336979315e-33,0.9999999999999997
555,PC555,2.859219336979315e-33,0.9999999999999997
556,PC556,2.859219336979315e-33,0.9999999999999997
557,PC557,2.859219336979315e-33,0.9999999999999997
558,PC558,2.859219336979315e-33,0.9999999999999997
559,PC559,2.859219336979315e-33,0.9999999999999997
560,PC560,2.012513928550295e-34,0.9999999999999997
561,PC561,1.8138041361197746e-35,0.9999999999999997
